Article#,Stock Available,MOP,NLC,Price,Discount/Unit,Discount,Discount %,Units,GP_per_unit,GP,GMV,GP_%
Bosch,"1,000","₹36,980.90","₹30,441.30","₹32,941.00","₹4,039.90","₹12,32,169.50",10.92%,305,"₹2,500.00","₹7,62,500.00","₹1,00,47,005.00",7.59%
Haier,"1,000","₹19,073.70","₹16,653.60","₹18,654.00",₹419.70,"₹26,860.80",2.20%,64,"₹2,000.00","₹1,28,000.00","₹11,93,856.00",10.72%
IFB,"1,000","₹34,036.00","₹29,976.20","₹31,476.00","₹2,560.00","₹6,57,920.00",7.52%,257,"₹1,500.00","₹3,85,500.00","₹80,89,332.00",4.77%
LG,"1,000","₹32,424.20","₹27,063.90","₹30,064.00","₹2,360.20","₹14,98,727.00",7.28%,635,"₹3,000.00","₹19,05,000.00","₹1,90,90,640.00",9.98%
Samsung,"1,000","₹25,250.30","₹22,131.00","₹24,631.00",₹619.30,"₹3,89,539.70",2.45%,629,"₹2,500.00","₹15,72,500.00","₹1,54,92,899.00",10.15%
Whirlpool,"1,000","₹19,966.90","₹16,375.10","₹19,875.00",₹91.90,"₹49,809.80",0.46%,542,"₹3,500.00","₹18,97,000.00","₹1,07,72,250.00",17.61%
